test,instruction_type,instruction,name,ade1s,ade2s,ade3s,ade
1,sd,"turn left into the road, Drive around road blockages",1,1.2735072847205584,3.306618191884534,4.076084614848536,2.8854033638178755
1,d,"Turn left, then stay on the right side to avoid hitting the person on the right side of the truck. Go back to left lane once obstructions on left lane are gone.",1,1.0287732281306476,2.811419622356226,3.3663011411450627,2.402164663877312
1,s,Turn right and move to the other lane carefully to avoid the trucks on the side of the road. Move back to other lane when the trucks clear up.,1,0.9625000240531512,2.8951811441888395,3.486145766516068,2.44794231158602
1,s,turn right and then slide into the left lane to avoid hitting the trucks,1,0.957957991424031,2.669760012566248,3.1650509271476075,2.264256310379296
2,s,turn left at the intersection,2,1.7702882633229389,4.183188343848892,5.285939176893825,3.746471928021885
2,s,Turn right and continue down this road. The road will change from two lanes into one lane.,2,1.7301237707978845,4.159461724956655,5.245084060520815,3.711556518758452
2,s,"Turn left, then slow down right before the speed bump to reduce impact.",2,1.7780954763173065,4.192367796173816,5.257874040725481,3.742779104405534
2,s,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
3,d,"Wait unitl the gate opens, move forward, slow down for pedestrians, stop for incoming traffic",3,0.6278230818899782,0.9384087707920856,1.2317081343488423,0.9326466623436356
3,ds,"Slow down on the speed bump, come to a stop near the toll gate until it opens, slowly proceed but watch out for the group of individuals crossing the street, then turn left",3,0.5245231979000298,0.8726722159740092,1.1339616473258365,0.8437190203999584
3,sd,"Go straight, but make sure to stop for the crossing bar. Continue forward and watch out for the group of people crossing the road.",3,0.4610111465706722,0.8499218583363521,1.026300360541017,0.7790777884826805
3,ds,follow the car in front stop for the barricades,3,1.0414831269603853,1.6332830563184504,3.362659132546028,2.0124751052749543
4,d,"Slightly slow down for the person crossing the street, then preceed as normal.",4,0.8996268985911217,4.826918692347724,5.2202040478662965,3.648916546268381
4,,Continue going straight.,4,0.5653319930030102,4.241467427650419,4.264691565853871,3.0238303288357664
4,d,be catious of pedestrians,4,0.7932384796844596,4.612502200215992,4.83255729712806,3.412765992342837
5,s,"Switch to the left lane to avoid the construction on the right lane, and preceed on the right lane after the construction is clear.",5,1.0908106731416904,2.2218222366390816,2.637999839634904,1.9835442498052247
5,s,stop at the intersection,5,1.1106112846947274,2.2598326709361065,2.649545077727301,2.0066630111193784
5,s,Follow the cones to merge onto the other lane,5,1.084446401454682,2.229411915180868,2.6389909132205207,1.9842830766186903
5,sd,Turn and merge onto the left lane. Follow the yellow car in front.,5,1.1737496417763849,2.2572926843453995,2.6998821990211126,2.0436415083809654
6,s,"Switch to the right lane when you see the truck on the left lane, then go back to the left lane once the truck is gone, then turn left",6,2.0604678185048675,2.5326398554352765,3.630510137403056,2.7412059371144
6,ds,Slightly go to the right to avoid hitting the person walking down the left lane,6,1.7276530248938549,2.220719994727649,3.079458524239419,2.342610514620308
6,d,"Continue straight then change lanes when the car is in the way, then turn left immediately.",6,2.1185416547074984,2.429626656029732,3.446985746671841,2.6650513524696904
6,s,swerve around the parked car then turn left,6,1.951265383380912,2.270286663518307,3.227543187120601,2.4830317446732733
6,s,"Slow down for road obstruction, Move to the right lane, Move back to left lane and make a left turn. ",6,2.300862096270878,2.871332549472755,4.014729564213001,3.0623080699855443
7,s,Continue straight and then turn left. Watch out for pedestrians on the road.,7,2.1236583055328766,3.31401863798848,4.737340337796415,3.391672427105924
7,d,"Slow down when the people are crossing the street on the left side, then proceed normally.",7,2.277532662685336,2.849308715064082,4.39562053409677,3.1741539706153965
7,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
7,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
7,d,Turn left after the two individuals cross the street,7,2.018551804480348,2.983499207008069,4.416165434278717,3.139405481922378
8,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
8,,Continue straight and then turn left.,8,1.9824688083652944,2.651880210693621,3.5482543684004204,2.7275344624864446
8,s,Take the left that comes right after the white truck on the right side of the road.,8,1.948556549308888,2.767099660885841,3.709852437893532,2.808502882696087
8,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
9,,Continue going straight.,4,0.5653319930030102,4.241467427650419,4.264691565853871,3.0238303288357664
10,s,Switch to the left lane after passing the final obstructing car parked on the left lane.,10,1.1357777697978475,5.070837890987181,5.085746437283529,3.764120699356186
10,,switch to the left lane,10,1.1508737457989289,5.132813244366229,5.166585081641236,3.8167573572688
10,s,"complete the right turn, then switch into the left lane",10,1.0522600720758688,4.964331814267988,4.904174216435168,3.640255367593008
